Customer Name,total_spending,order_frequency,avg_order_value
Heather Kirkland,4877.784,15,325.18559999999997
Helen Abelman,2163.3,10,216.33
Helen Andreada,2584.158,18,143.56433333333334
Helen Wasserman,4827.934,15,321.8622666666667
Henia Zydlo,886.52,6,147.75333333333333
Henry Goldwyn,3247.642,17,191.03776470588235
Henry MacAllister,736.276,7,105.18228571428571
Herbert Flentye,2533.1639999999998,19,133.32442105263158
Hilary Holden,218.668,6,36.44466666666667
Hunter Glantz,3690.284,11,335.4803636363636
Hunter Lopez,12873.297999999999,11,1170.2998181818182
Ionia McGrath,48.4,2,24.2
Irene Maddox,4930.474,21,234.7844761904762
Ivan Gibson,744.574,7,106.36771428571429
Ivan Liston,5040.736,14,360.0525714285714
Jack Garza,2358.676,7,336.9537142857143
Jack Lebron,1214.956,12,101.24633333333333
Jack O'Briant,3254.949,13,250.3806923076923
James Galang,6366.392,18,353.68844444444443
James Lanier,1571.523,7,224.5032857142857
Jamie Frazer,2239.606,18,124.42255555555556
Jamie Kunitz,4262.2919999999995,12,355.191
Jane Waco,7721.714,14,551.551
Janet Lee,2203.7,10,220.36999999999998
Janet Martin,3159.1220000000003,19,166.26957894736844
Janet Molinari,1804.146,13,138.78046153846154
Jas O'Carroll,1934.272,11,175.84290909090907
Jason Fortune-,955.124,14,68.22314285714286
Jason Gross,2240.58,11,203.6890909090909
Jason Klamczynski,383.812,4,95.953
Jasper Cacioppo,71.263,4,17.81575
Jay Fein,1911.844,16,119.49025
Jay Kimmel,2136.458,16,133.528625
Jenna Caffey,1058.108,4,264.527
Jennifer Braxton,1791.605,16,111.9753125
Jennifer Ferguson,2309.432,13,177.64861538461537
Jennifer Halladay,309.281,7,44.183
Jennifer Jackson,709.178,6,118.19633333333333
Jennifer Patt,1669.135,15,111.27566666666667
Jeremy Ellison,1388.682,13,106.8216923076923
Jeremy Farry,890.95,14,63.63928571428572
Jeremy Lonsdale,3173.874,17,186.6984705882353
Jeremy Pistek,3635.594,16,227.224625
Jessica Myrick,1733.443,10,173.3443
Jesus Ocampo,1090.838,11,99.1670909090909
Jill Fjeld,4198.332,16,262.39575
Jill Matthias,303.948,7,43.421142857142854
Jill Stevenson,1417.654,8,177.20675
Jim Epp,7754.976,20,387.74879999999996
Jim Karlsson,3760.028,12,313.33566666666667
Jim Kriz,4760.434,12,396.70283333333333
Jim Mitchum,864.947,12,72.07891666666667
Jim Radford,1156.658,3,385.55266666666665
Jim Sink,990.1959999999999,9,110.02177777777777
Jocasta Rupert,863.88,1,863.88
Joe Elijah,8697.842999999999,22,395.3564999999999
Joe Kamberova,4769.9,19,251.04736842105262
Joel Eaton,6760.8150000000005,23,293.9484782608696
Joel Jenkins,195.0,3,65.0
John Castell,2772.055,16,173.2534375
John Dryer,2152.352,7,307.4788571428571
John Grady,1507.018,9,167.44644444444444
John Huston,528.91,8,66.11375
John Lee,9576.343,33,290.19221212121215
John Lucas,2725.256,11,247.75054545454543
John Murray,7625.076000000001,13,586.5443076923077
John Stevenson,3868.02,9,429.78
Jonathan Doherty,7610.8640000000005,32,237.83950000000002
Jonathan Howell,959.477,9,106.60855555555555
Joni Blumstein,900.552,8,112.569
Joni Sundaresam,469.169,8,58.646125
Joni Wasserman,1049.2379999999998,10,104.92379999999999
Joseph Airdo,6491.026,24,270.45941666666664
Joseph Holt,7954.9980000000005,14,568.2141428571429
Joy Bell-,644.1188,7,92.01697142857142
Joy Daniels,385.43,11,35.03909090909091
Joy Smith,2516.494,18,139.80522222222223
Julia Barnett,2518.115,9,279.79055555555556
Julia Dunbar,695.442,6,115.907
Julia West,1428.731,7,204.10442857142857
Juliana Krohn,3747.668,9,416.4075555555556
Julie Creighton,858.576,9,95.39733333333334
Julie Kriz,2932.484,17,172.4990588235294
Julie Prescott,1707.71,13,131.3623076923077
Justin Deggeller,8828.0305,17,519.2959117647059
Justin Ellison,2697.248,7,385.3211428571429
Justin Hirsh,2256.3940000000002,5,451.27880000000005
Justin MacKendrick,2833.9260000000004,19,149.15400000000002
Justin Ritter,2201.686,10,220.16860000000003
Kalyca Meade,2260.958,19,118.99778947368422
Karen Bern,3152.6150000000002,10,315.2615
Karen Carlisle,2120.954,10,212.0954
Karen Daniels,8282.358,16,517.647375
Karen Ferguson,10604.266,18,589.1258888888889
Karen Seio,88.472,4,22.118
Karl Braun,1569.464,22,71.33927272727273
Katharine Harms,3312.864,18,184.048
Katherine Ducich,1888.964,10,188.8964
Katherine Hughes,3100.612,14,221.47228571428573
Katherine Murray,5620.186,20,281.0093
Katherine Nockton,2224.0860000000002,15,148.2724
Katrina Bavinger,908.821,9,100.98011111111111
Katrina Edelman,1453.2812000000001,12,121.10676666666667
Katrina Willman,4416.5199999999995,10,441.65199999999993
Kean Nguyen,2171.962,8,271.49525
Kean Takahito,3057.1,14,218.3642857142857
Kean Thornton,4642.088400000001,13,357.0837230769231
Keith Dawkins,8181.256,28,292.1877142857143
Keith Herrera,5229.695000000001,20,261.48475
Kelly Andreada,1519.506,11,138.13690909090909
Kelly Collister,3908.262,5,781.6524000000001
Kelly Lampkin,5016.488,22,228.02218181818182
Kelly Williams,449.096,5,89.8192
Ken Black,2744.742,23,119.33660869565219
Ken Brennan,983.922,9,109.32466666666667
Ken Dana,907.158,7,129.594
Ken Heidel,3918.9660000000003,17,230.5274117647059
Ken Lonsdale,14175.229000000001,29,488.80100000000004
Khloe Miller,453.538,9,50.39311111111111
Kimberly Carter,1146.05,7,163.72142857142856
Kristen Hastings,5990.799,15,399.3866
Kristina Nunn,2003.01,12,166.9175
Kunst Miller,4909.472,28,175.33828571428572
Larry Blacks,50.188,3,16.729333333333333
Larry Hughes,287.426,3,95.80866666666667
Larry Tron,329.876,3,109.95866666666666
Laura Armstrong,8673.222,26,333.5854615384615
Laurel Beltran,4704.304,23,204.53495652173913
Laurel Elliston,1469.45,9,163.27222222222224
Laurel Workman,2238.061,15,149.20406666666668
Lauren Leatherbury,2454.554,10,245.4554
Lela Donovan,5.304,1,5.304
Lena Cacioppo,2580.7039999999997,30,86.02346666666666
Lena Creighton,7663.126,23,333.17939130434786
Lena Hernandez,2295.332,15,153.02213333333333
Lena Radford,5142.892,16,321.43075
Linda Cazamias,4492.946,14,320.9247142857143
Linda Southworth,2845.27,14,203.23357142857142
Lindsay Castell,3246.626,7,463.8037142857143
Lindsay Shagiari,2988.674,22,135.8488181818182
Lindsay Williams,3230.308,11,293.66436363636365
Lisa DeCherney,1961.934,7,280.27628571428573
Lisa Hazard,318.239,6,53.03983333333333
Lisa Ryan,1879.306,12,156.60883333333334
Liz Carlisle,2095.064,9,232.78488888888887
Liz MacKendrick,1346.774,7,192.3962857142857
Liz Pelletier,756.606,9,84.06733333333334
Liz Preis,3104.439,13,238.803
Liz Thompson,2936.252,14,209.73228571428572
Liz Willingham,1259.04,5,251.808
Logan Currie,2633.582,19,138.60957894736842
Logan Haushalter,1739.689,19,91.56257894736842
Lori Olson,644.35,9,71.59444444444445
Luke Foster,3930.5089999999996,16,245.65681249999997
Luke Schmidt,1010.2560000000001,14,72.16114285714286
Luke Weiss,5420.514,15,361.3676
Lycoris Saunders,368.88000000000005,6,61.48000000000001
Lynn Smith,1008.1360000000001,12,84.01133333333334
Magdelene Morse,1314.023,6,219.00383333333332
Marc Crier,2725.982,13,209.69092307692307
Marc Harrigan,1691.505,10,169.15050000000002
Maria Bertelson,1548.702,19,81.51063157894737
Maria Etezadi,10663.728000000001,22,484.71490909090915
Maria Zettner,593.606,6,98.93433333333333
Maribeth Dona,2716.412,15,181.09413333333333
Maribeth Schnelling,7443.6900000000005,24,310.15375
Maribeth Yedwab,2254.285,13,173.40653846153845
Marina Lichtenstein,2722.843,20,136.14215
Maris LaWare,2885.26,14,206.09
Mark Cousins,4432.138,10,443.2138
Mark Haberlin,400.016,9,44.446222222222225
Mark Hamilton,2146.694,9,238.52155555555555
Mark Packer,2945.822,12,245.4851666666667
Mark Van Huff,1560.05,15,104.00333333333333
Mary O'Rourke,922.487,5,184.4974
Mary Zewe,2564.906,10,256.4906
MaryBeth Skach,475.65599999999995,7,67.95085714285713
Mathew Reese,639.178,6,106.52966666666667
Matt Abelman,4299.161,34,126.44591176470588
Matt Collins,1303.893,11,118.53572727272727
Matt Collister,2426.067,17,142.70982352941178
Matt Connell,2258.192,18,125.45511111111111
Matt Hagelstein,1252.8,6,208.79999999999998
Matthew Clasen,795.154,8,99.39425
Matthew Grinstein,3785.276,14,270.37685714285715
Maureen Fritzler,937.039,8,117.129875
Maureen Gastineau,2350.188,10,235.0188
Maureen Gnade,1342.282,7,191.7545714285714
Maurice Satty,1613.402,15,107.56013333333334
Max Engle,1908.4532,13,146.80409230769231
Max Jones,6320.746,15,421.38306666666665
Max Ludwig,2071.9139999999998,13,159.378
Maxwell Schwartz,3144.678,19,165.5093684210526
Maya Herman,2203.7780000000002,11,200.34345454545456
Meg O'Connel,1687.0269999999998,11,153.3660909090909
Meg Tillman,2890.139,10,289.01390000000004
Melanie Seite,370.348,5,74.06960000000001
Michael Chen,3805.714,14,271.83671428571427
Michael Dominguez,1204.91,8,150.61375
Michael Grace,1242.8329999999999,7,177.54757142857142
Michael Granlund,776.384,13,59.72184615384616
Michael Kennedy,2302.368,17,135.43341176470588
Michael Moore,3640.2560000000003,15,242.68373333333335
Michael Nguyen,2477.946,10,247.7946
Michael Oakman,154.288,4,38.572
Michael Paige,3983.6420000000003,20,199.18210000000002
Michael Stewart,855.116,11,77.73781818181818
Michelle Arnett,2453.284,12,204.44033333333334
Michelle Ellison,1256.944,6,209.49066666666667
Michelle Huthwaite,2984.948,10,298.4948
Michelle Lonsdale,742.082,4,185.5205
Michelle Moray,2749.881,19,144.7305789473684
Michelle Tran,1319.4498,11,119.94998181818183
Mick Brown,1428.231,10,142.8231
Mick Crebagga,2218.98,19,116.78842105263158
Mick Hernandez,5503.093,22,250.1405909090909
Mike Caudle,1581.9979999999998,11,143.81799999999998
Mike Gockenbach,3061.543,8,382.692875
Mike Kennedy,1031.602,11,93.78200000000001
Mike Pelletier,4757.332,18,264.29622222222224
Mike Vittorini,1734.574,11,157.68854545454545
Mitch Gastineau,16.739,2,8.3695
Mitch Webber,5341.900000000001,14,381.56428571428575
Mitch Willingham,5253.876,3,1751.2920000000001
Monica Federle,1758.3,12,146.525
Muhammed Lee,162.232,3,54.077333333333335
Muhammed MacIntyre,775.414,12,64.61783333333334
Muhammed Yedwab,3601.88,19,189.57263157894738
Nancy Lomonaco,1418.0900000000001,10,141.80900000000003
Naresj Patel,5529.62,21,263.3152380952381
Nat Carroll,2461.404,17,144.7884705882353
Nat Gilpin,1869.58,16,116.84875
Natalie DeCherney,4326.139,18,240.34105555555556
Natalie Fritzler,8080.474,13,621.5749230769231
Natalie Webber,7234.014,22,328.8188181818182
Nathan Cano,2218.9900000000002,14,158.49928571428572
Nathan Gelder,1395.9379999999999,9,155.1042222222222
Nathan Mautz,6459.344,14,461.3817142857143
Neil Ducich,2893.455,8,361.681875
Neil Französisch,377.16200000000003,4,94.29050000000001
Neil Knudson,572.048,11,52.004363636363635
Neola Schneider,2575.863,15,171.7242
Neoma Murray,2161.979,15,144.1319333333333
Nick Crebassa,8241.739,15,549.4492666666666
Nick Radford,2367.277,13,182.09823076923078
Nick Zandusky,2488.31,20,124.4155
Nicole Brennan,273.87199999999996,2,136.93599999999998
Nicole Fjeld,2031.472,12,169.28933333333333
Nicole Hansen,2518.6659999999997,9,279.8517777777777
Noah Childs,1821.742,9,202.41577777777778
Noel Staavos,2857.753,23,124.25013043478262
Nona Balk,1972.599,17,116.03523529411764
Nora Paige,3908.402,10,390.8402
Nora Pelletier,1164.73,6,194.12166666666667
Nora Preis,7903.1825,13,607.9371153846154
Odella Nelson,1567.52,15,104.50133333333333
Olvera Toch,3818.624,10,381.8624
Pamela Coakley,1832.064,5,366.4128
Pamela Stobb,2181.479,21,103.87995238095237
Parhena Norris,1467.152,13,112.85784615384615
Patricia Hirasaki,729.648,2,364.824
Patrick Bzostek,740.356,10,74.0356
Patrick Gardner,3086.907,26,118.72719230769232
Patrick Jones,1220.09,13,93.85307692307691
Patrick O'Brill,7473.8282,22,339.7194636363636
Patrick O'Donnell,2493.214,13,191.7856923076923
Patrick Ryan,1840.178,12,153.34816666666669
Paul Gonzalez,1987.164,17,116.892
Paul Knutson,1441.152,3,480.384
Paul Lucas,239.481,8,29.935125
Paul MacIntyre,1405.402,4,351.3505
Paul Prost,7252.608,34,213.312
Paul Stevenson,1278.639,13,98.35684615384615
Paul Van Hugh,2876.046,13,221.23430769230768
Pauline Chand,1061.488,3,353.82933333333335
Pauline Johnson,1677.536,7,239.648
Pauline Webber,3454.916,13,265.76276923076927
Penelope Sewall,6843.634,13,526.4333846153846
Pete Armstrong,729.408,7,104.20114285714286
Pete Kriz,8646.934,25,345.87735999999995
Pete Takahito,158.46,6,26.41
Peter Bühler,688.324,5,137.66479999999999
Peter Fuller,9062.864,19,476.99284210526315
Peter McVee,4115.662,7,587.9517142857143
Philip Brown,1456.95,11,132.45000000000002
